"","speaker_role","word","target_child_age_months","speech_act","count","total","rel_freq","ppt"
"1041","Mother","other",16,"imperative",830,847,0.979929161747344,979.929161747344
"1042","Mother","other",16,"other",2333,2411,0.967648278722522,967.648278722522
"1043","Mother","other",16,"question",14313,14447,0.990724717934519,990.724717934519
"1044","Mother","other",17,"declarative",34042,34654,0.982339701044612,982.339701044612
"1045","Mother","other",17,"imperative",2344,2380,0.984873949579832,984.873949579832
"1046","Mother","other",17,"other",2736,2830,0.96678445229682,966.78445229682
"1047","Mother","other",17,"question",18264,18428,0.991100499240287,991.100499240287
"1048","Mother","other",18,"declarative",52512,53452,0.982414128563945,982.414128563945
"1049","Mother","other",18,"imperative",1639,1660,0.987349397590361,987.349397590361
"1050","Mother","other",18,"other",2497,2588,0.96483771251932,964.83771251932
"1051","Mother","other",18,"question",27663,27912,0.991079105760963,991.079105760963
"1052","Mother","other",19,"declarative",80028,81426,0.982831036769582,982.831036769582
"1053","Mother","other",19,"imperative",3744,3787,0.988645365724848,988.645365724848
"1054","Mother","other",19,"other",3548,3661,0.96913411636165,969.13411636165
"1055","Mother","other",19,"question",39234,39600,0.990757575757576,990.757575757576
"1056","Mother","other",20,"declarative",78452,79763,0.98356380778055,983.56380778055
"1057","Mother","other",20,"imperative",5203,5243,0.992370780087736,992.370780087736
"1058","Mother","other",20,"other",4082,4230,0.965011820330969,965.011820330969
"1059","Mother","other",20,"question",44565,45017,0.989959348690495,989.959348690495
"1060","Mother","other",21,"declarative",69923,71182,0.982312944283667,982.312944283667
"1061","Mother","other",21,"imperative",2572,2602,0.988470407378939,988.470407378939
"1062","Mother","other",21,"other",5347,5560,0.961690647482014,961.690647482014
"1063","Mother","other",21,"question",40596,41019,0.98968770569736,989.68770569736
"1064","Mother","other",22,"declarative",67956,69151,0.982718977310523,982.718977310523
"1065","Mother","other",22,"imperative",2294,2345,0.978251599147122,978.251599147122
"1066","Mother","other",22,"other",4263,4431,0.962085308056872,962.085308056872
"1067","Mother","other",22,"question",35381,35758,0.989456904748588,989.456904748588
